objectid,filename,originalfile,title,type,species,varieties,features,accessory,identifier,altitudeid,date,description,season,subject,location,latitude,longitude,imagetype,format,language,creator,rights,rightsstatement
coll022,WP_20171005_19_26_32_Pro_25_Cumulonimbus_Altocumuligenitus_2017.png,,Cumulonimbus ,Cumulonimbus ,,,,,,Multiple,2017,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. At least part of its upper portion is usually smooth, or fibrous or striated, and nearly always flattened; this part often spreads out in the shape of an anvil or vast plume.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll023,IMG_8150_30_2018_C_Med_.png,,Cumulus,Cumulus,Mediocris,,,,,Low,2018,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower. The sunlit parts of these clouds are mostly brilliant white; their base is relatively dark and nearly horizontal.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll024,IMGP0650_26_Stratocumulus_2018.png,,Stratocumulus,Stratocumulus,,,,,,Low,2018,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. Storm clouds.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll025,IMGP0661_27_Stratucumulus_Cumulogenitus_2018.png,,Stratocumulus Cumulogenitus,Stratocumulus Cumulogenitus,,,,,,Low,2018,"Grey or whitish, or both grey and whitish, patch, sheet or layer of cloud that almost always has dark parts, composed of tessellations, rounded masses, rolls, etc., which are non-fibrous (except for virga) and which may or may not be merged; most of the regularly arranged small elements have an apparent width of more than 25",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll026,IMGP0678_28_Altocumulus_Stratiformis_2018.png,,Altocumulus,Altocumulus,Stratiformis,,,,,Middle,2018,"White or grey, or both white and grey, patch, sheet or layer of cloud, generally with shading, composed of laminae, rounded masses, rolls, etc., which are sometimes partly fibrous or diffuse and which may or may not be merged; most of the regularly arranged small elements usually have an apparent width between 1° and 5°.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll027,IMGP0682_29_Altocumulus_Stratiformis_2018.png,,Altocumulus,Altocumulus,Stratiformis,,,,,Middle,2018,"White or grey, or both white and grey, patch, sheet or layer of cloud, generally with shading, composed of laminae, rounded masses, rolls, etc., which are sometimes partly fibrous or diffuse and which may or may not be merged; most of the regularly arranged small elements usually have an apparent width between 1° and 5°.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll028,DSCF4046_31_C_Cong_2019.png,,Cumulus,Cumulus,Congestus,,,,,Low,2019,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower. The sunlit parts of these clouds are mostly brilliant white; their base is relatively dark and nearly horizontal.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll029,IMGP1547_32_C_Cong_2019.png,,Cumulus,Congestus,Congestus,,,,,Low,2019,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower. The sunlit parts of these clouds are mostly brilliant white; their base is relatively dark and nearly horizontal.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll030,IMGP1549_33_C_Cong__2019.png,,Cumulus,Congestus,Congestus,,,,,Low,2019,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower. The sunlit parts of these clouds are mostly brilliant white; their base is relatively dark and nearly horizontal.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll031,IMGP1580_34_CN_Calvus_2019.png,,Cumulonimbus ,Cumulonimbus ,Calvus,,,,,Multiple,2019,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. At least part of its upper portion is usually smooth, or fibrous or striated, and nearly always flattened; this part often spreads out in the shape of an anvil or vast plume.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll032,IMGP1583_35_CN__2019.png,,Cumulonimbus ,Cumulonimbus ,,,,,,Multiple,2019,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. At least part of its upper portion is usually smooth, or fibrous or striated, and nearly always flattened; this part often spreads out in the shape of an anvil or vast plume.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll033,IMGP1623_36_C_Med_2019.png,,Cumulus,Cumulus,Mediocris,,,,,Low,2019,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower. The sunlit parts of these clouds are mostly brilliant white; their base is relatively dark and nearly horizontal.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll034,IMGP4457_92_Stratocumulus_2020.png,,Stratocumulus,Stratocumulus,,,,,,Low,2020,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
