objectid,filename,type,species,features,altitudid,varieties,description,season,date,subject,location,latitude,longitude,identifier,type,format,language,creator,rights,rightsstatement
coll030,cumulo_nimbus_30.png,Cumulonimbus,Calvus,,Multiple,,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. Storm clouds.",Summer,2023-01-12,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,"T1, CN",Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll031,cumulo_nimbus_31.png,Cumulonimbus,,,Multiple,,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. Storm clouds.",Summer,2023-01-13,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll032,cumulo_nimbus_32.png,Cumulonimbus,,,Multiple,,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. Storm clouds.",Summer,2023-01-14,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll033,cumulo_nimbus_33.png,Cumulonimbus,,,Multiple,,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. Storm clouds.",Summer,2023-01-15,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll034,cumulos/cumulo_1.png,Cumulus,,,L,,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower.",Summer,2023-01-16,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll035,cumulos/cumulo_2.png,Cumulus,,,L,,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower.",N/A,2023-01-17,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll036,cumulos/cumulo_3.png,Cumulus,,,L,,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower.",N/A,2023-01-18,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll037,cumulos/cumulo_4.png,Cumulus,,,L,,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower.",N/A,2023-01-19,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll038,cumulos/cumulo_5.png,Cumulus,,,L,,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower.",N/A,2023-01-20,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll039,cumulos/cumulo_6.png,Cumulus,,,L,,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower.",N/A,2023-01-21,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
